Notes,Assessment,Evidence
4.3) If you provide more extensive documentation does this provide clear step-by-step instructions on how to deploy and use your software?,yes,
4.4) Do you provide a comprehensive guide to all your software’s commands functions and options?,yes,
4.5) Do you provide troubleshooting information that describes the symptoms and step-by-step solutions for problems and error messages?,no,
4.6) If your software can be used as a library package or service by other software do you provide comprehensive API documentation?,no,
4.7) Do you store your documentation under revision control with your source code?,yes,Documents are edited in GitHub
4.8) Do you publish your release history,no,
Q5 - How you support your software,,
5.1) Does your software describe how a user can get help with using your software?,yes,
5.2) Does your website and documentation describe what support you provide to users and developers (if any)?,yes,
5.3) Does your project have an e-mail address or forum that is solely for supporting users?,no,
5.4) Are e-mails to your support e-mail address received by more than one person?,NA,
5.5) Does your project have a ticketing system to manage bug reports and feature requests?,yes,GitHub issues tab: https://github.com/rliu9/cheapBuy/issues
5.6) Is your project's ticketing system publicly visible to your users so they can view bug reports and feature requests?,yes,GitHub issues tab: https://github.com/rliu9/cheapBuy/issues
Q6 - Your software's maintainability,,
6.1) Is your software’s architecture and design modular?,yes,
6.2) Does your software use an accepted coding standard or convention?,yes,
Q7 - Open standards and your software,,
7.1) Does your software allow data to be imported and exported using open data formats?,yes,CSV and HTML
7.2) Does your software allow communications using open communications protocols?,yes,HTTP
Q8 - Your software's portability,,
8.1) Is your software cross-platform compatible?,yes,
Q9 - Your software and accessibility,,
9.1) Does your software adhere to appropriate accessibility conventions or standards?,no,
9.2) Does your documentation adhere to appropriate accessibility conventions or standards?,no,
Q10 - How you manage your source code,,
10.1) Is your source code stored in a repository under revision control?,yes,Stored in GitHub
10.2) Is each source code release a snapshot of the repository?,yes,
10.3) Are releases tagged in the repository?,yes,
10.4) Is there a branch of the repository that is always stable?,yes,
10.5) Do you back-up your repository?,yes,
Q11 - Building and installing your software,,
11.1) Do you provide publicly-available instructions for building your software from the source code?,yes,
11.2) Can you build or package your software using an automated tool?,yes,PIP
11.3) Do you provide publicly-available instructions for deploying your software?,yes,
11.4) Does your documentation list all third-party dependencies?,yes,Requirements file: https://github.com/rliu9/cheapBuy/blob/main/requirements.txt
11.5) Does your documentation list the version number for all third-party dependencies?,yes,
11.6) Does your software list the web address and licences for all third-party dependencies and say whether the dependencies are mandatory or not,no,
11.7) Can you download dependencies using a dependency management tool or package manager?,yes,PIP
11.8) Do you have tests that can be run after your software has been built or deployed to show whether the build or deployment has been successful?,yes,
Q12 - How you test your software,,
12.1) Do you have an automated test suite for your software?,yes,GitHub workflow: https://github.com/rliu9/cheapBuy/actions/workflows/unit_test.yml
12.2) Do you have a framework to periodically (e.g. nightly) run your tests on the latest version of the source code?,no,
12.3) Do you use continuous integration and automatically running tests whenever changes are made to your source code?,yes,GitHub workflow: https://github.com/rliu9/cheapBuy/actions/workflows/unit_test.yml
12.4) Are your test results publicly visible?,yes,Test builds: https://app.travis-ci.com/github/anshulp2912/cheapBuy/builds
12.5) Are all manually-run tests documented?,no,
Q13 - How you engage with your community,,
13.1) Does your project have resources that are regularly updated with information about your software?,no,
13.2)  Does your website state how many projects and users are associated with your project?,no,
13.3) Do you provide success stories on your website?,no,
13.4) Do you list your important partners and collaborators on your website?,no,
13.5) Do you list your project's publications on your website or link to a resource where these are available?,no,
13.6) Do you list third-party publications that refer to your software on your website or link to a resource where these are available?,no,
13.7) Can users subscribe to notifications to changes to your source code repository?,yes,GitHub watch and star features
13.8) If your software is developed as an open-source project (and not just a project developing open-source software) do you have a governance model?,yes,MIT licence
Q14 - How you manage contributions,,
14.1) Do you accept contributions from people who are not part of your project?,yes,
14.2) Do you have a contributions policy?,yes,
14.3) Is your contributions' policy publicly available?,yes,Contribution policy: https://github.com/rliu9/cheapBuy/blob/main/CONTRIBUTING.md
14.4) Do contributors keep the copyright/IP of their contributions?,no,
Q15 - Your software's copyright and licensing,,
15.1) Does your website and documentation clearly state the copyright owners of your software and documentation?,YES,
15.2) Does each of your source code files include a copyright statement?,yes,
15.3) Does your website and documentation clearly state the licence of your software?,YES,
15.4) Is your software released under an open source licence?,yes,
15.5) Is your software released under an OSI-approved open-source licence?,yes,
15.6) Does each of your source code files include a licence header?,yes,
15.7) Do you have a recommended citation for your software?,no,
Q16 - Your plans for the future,,
16.1) Does your website or documentation include a project roadmap (a list of project and development milestones)?,yes,Plan: https://github.com/rliu9/cheapBuy/tree/main#-plan-of-action-
16.2) Does your website or documentation describe how your project is funded and the period over which funding is guaranteed?,no,
16.3) Do you make timely announcements of the deprecation of components and APIs etc.?,no,
